train/mean_token_accuracy,train/entropy,train/num_tokens,_timestamp,train/loss,train/grad_norm,train/learning_rate,_step,_runtime,train/global_step,train/epoch
0.7816795031229655,0.7964381337165832,4432985.0,1764930885.771329,0.7832,0.23198004066944122,0.0001395897435897436,63,823.761547531,640,0.0768
0.7771714061498642,0.8186372339725494,4505781.0,1764930898.6337047,0.7898,0.2630380392074585,0.00013856410256410257,64,836.623906841,650,0.078
0.785745307803154,0.7788268153866132,4578853.0,1764930911.5831017,0.7754,0.20830436050891876,0.00013753846153846154,65,849.573371185,660,0.0792
0.7995141983032227,0.7536622469623884,4644254.0,1764930923.925848,0.7051,0.17833036184310913,0.00013651282051282054,66,861.915971801,670,0.0804
0.7825332115093867,0.7671453853448232,4708972.0,1764930936.4312491,0.7666,0.2590826749801636,0.00013548717948717949,67,874.421527352,680,0.0816
0.7802675634622573,0.8115780721108119,4778129.0,1764930949.4713387,0.7884,0.21835678815841675,0.00013446153846153846,68,887.461582076,690,0.0828
0.7882345100243886,0.762473867336909,4847575.0,1764930962.2633948,0.724,0.22955697774887085,0.00013343589743589743,69,900.253699943,700,0.084
0.786268875002861,0.7890325287977854,4916692.0,1764930975.2276614,0.7666,0.2080048769712448,0.0001324102564102564,70,913.217862681,710,0.0852
0.7745322664578755,0.8223190744717915,4989569.0,1764930987.9759693,0.8186,0.24656541645526886,0.0001313846153846154,71,925.966150309,720,0.0864
0.7898494362831116,0.7552809183796246,5059624.0,1764931000.8179662,0.7366,0.19476142525672913,0.00013035897435897438,72,938.808172514,730,0.0876
0.7881710191567739,0.7791556204358737,5129680.0,1764931013.5140576,0.7618,0.19487807154655457,0.00012933333333333332,73,951.504302633,740,0.0888
0.780183058977127,0.7927181402842204,5201338.0,1764931026.21916,0.7938,0.1993672400712967,0.0001283076923076923,74,964.209525649,750,0.09
0.8009556005398433,0.7469362358252207,5267360.0,1764931038.6996043,0.6889,0.2073613852262497,0.0001272820512820513,75,976.689747389,760,0.0912
0.7902544478575388,0.7616830850640933,5341352.0,1764931051.451472,0.7588,0.23464146256446838,0.00012625641025641027,76,989.441664125,770,0.0924
0.7786386370658874,0.7882050121823947,5405016.0,1764931064.035964,0.7978,0.3004069924354553,0.00012523076923076924,77,1002.026130301,780,0.0936
0.8033743023872375,0.7430527160565058,5478006.0,1764931076.8516972,0.6951,0.1819991171360016,0.00012420512820512822,78,1014.841813267,790,0.0948
0.7937215665976206,0.7090444127718608,5549617.0,1764931089.9743943,0.7388,0.2234177589416504,0.0001231794871794872,79,1027.964550743,800,0.096
0.7925666987895965,0.76834790011247,5628519.0,1764931104.6998618,0.7338,0.2106642872095108,0.00012215384615384616,80,1042.690144609,810,0.0972
0.780896786848704,0.7642110414803028,5698041.0,1764931117.8149269,0.7775,0.25101423263549805,0.00012112820512820514,81,1055.805012641,820,0.0984
0.7931829979022343,0.7699040696024895,5762992.0,1764931130.4083734,0.7432,0.24394665658473969,0.00012010256410256411,82,1068.398578919,830,0.0996
0.804652339220047,0.6899313961466154,5829538.0,1764931142.99848,0.6697,0.25308507680892944,0.00011907692307692308,83,1080.9886039,840,0.1008
0.7819709291060766,0.7779291446010271,5898813.0,1764931155.5292978,0.7845,0.23199571669101715,0.00011805128205128207,84,1093.519549328,850,0.102
0.7809621671835582,0.7963595698277156,5970214.0,1764931168.1808991,0.8112,0.24124328792095184,0.00011702564102564104,85,1106.171132098,860,0.1032
0.7845052977403005,0.7706465058028698,6031254.0,1764931180.4308574,0.7715,0.21705152094364166,0.000116,86,1118.420940741,870,0.1044
0.7832964579264323,0.7888635377089183,6096613.0,1764931192.6237617,0.7695,0.23680628836154938,0.00011497435897435897,87,1130.613959716,880,0.1056
0.7716632068157196,0.8049175674716632,6167675.0,1764931205.495976,0.8062,0.2368156611919403,0.00011394871794871795,88,1143.486277121,890,0.1068
